Label,modularity_class
[H][CH]=[O][O][O]([H])[CH]([H])[H],2
[H][CH]=[O][O][O][C]([H])([H])[H],0
[H][CH]=[O][O][O]=[CH][H].[H][H],3
[H][CH]=[O][O]=[C]([H])[H].[H][OH],3
[H][CH]=[O][OH].[H][O]=[C]([H])[H],3
[H][CH]1[CH]([H])[O]([H])[O][O]1[H],4
[H][CH]1[CH]([H])[O]1[O][O]([H])[H],4
[H][CH]1[CH]([H])[O]1[OH].[H][H].[OH2],4
[H][CH]1[CH]([H])[O]2[O][O]12.[H][H],0
[H][CH]1[O]([H])[C]1([H])[H].[O]=[O],2
[H][CH]1[O]([H])[C]1([H])[H].[OH2].[OH2],4
[H][CH]1[O]([H])[O]([OH])[C]1([H])[H],4
[H][CH]1[O]([H])[O][C]1([H])[H].[OH2],2
[H][CH]1[O]([H])[O][O][C]1([H])[H],4
[H][CH]1[O]([O]([H])[OH])[C]1([H])[H],4
[H][CH]1[O]([OH])[C]1([H])[H].[H][OH],2
[H][CH]1[O]([OH])[O]([H])[C]1([H])[H],4
[H][CH]1[O]([OH])[O]1[C]([H])([H])[H],0
[H][CH]1[O][C]1([H])[H].[H][OH].[OH2],4
[H][CH]1[O][O]([C]([H])([H])[H])[O]1,0
[H][CH]1[O][O]([CH]([H])[H])[O]1[H],3
[H][CH]1[O][O]([H])[O]([H])[CH]1[H],4
[H][CH]1[O][O]([H])[O][C]1([H])[H],4
[H][CH]1[O][O]([O]([H])[H])[CH]1[H],4
[H][CH]1[O][O][O]([H])[C]1([H])[H],4
[H][CH]1[O][O][O]1[C]([H])([H])[H],0
[H][CH]1[O][O]1[O][C]([H])([H])[H],0
[H][CH]1[O][O]2[O][C]12[H].[H][H],4
[H][CH]1[O]2[O]([H])[O]2[C]1([H])[H],0
[H][CH]1[O]2[O]([OH])[C]12[H].[H][H],4
[H][CH]1[O]2[O][C]1([H])[O]2.[H][H],4
[H][CH]1[O]2[O][O][C]12[H].[H][H],4
[H][CH2][C]([H])([H])[H].[O]1[O][O]1,0
[H][CH2][C]([H])([H])[H].[OH][O][OH],0
[H][CH2][C]([H])([H])[H].[OH2].[OH][OH],0
[H][CH2][C]([H])([H])[H].[OH2].[OH2].[OH2],0
[H][CH2][C]([H])([H])[O]([H])[O][OH],2
[H][CH2][C]([H])([H])[O]([H])[OH].[OH2],4
[H][CH2][C]([H])([H])[O]([OH])[O][H],2
[H][CH2][C]([H])([H])[O][H].[OH][OH],4
[H][CH2][C]([H])([H])[O][H].[OH2].[OH2],2
[H][CH2][C]([H])([H])[O][O]([H])[OH],2
[H][CH2][C]([H])([H])[O][O][H].[OH2],4
[H][CH2][C]([H])([H])[O][O][O][H],2
[H][CH2][C]([H])([H])[O][OH].[H][OH],4
[H][CH2][C]([H])([H])[O]1[O][O]1[H],0
[H][CH2][C]([H])([H])[OH].[H][O][OH],4
[H][CH2][C]([H])([H])[OH].[H][OH].[OH2],2
[H][CH2][C]([H])([OH])[O][OH].[H][H],4
[H][CH2][C]1([H])[O]([H])[O][O]1[H],4
[H][CH2][C]1([H])[O]([H])[O]1[O][H],4
[H][CH2][C]1([H])[O][O]([H])[O]1[H],4
[H][CH2][C]1([H])[O][O][O]1.[H][H],2
[H][CH2][C]1([H])[O][O]1.[H][H].[OH2],4
[H][CH2][C]1([H])[O][O]1[O]([H])[H],4
[H][CH2][C]1([H])[O][O]1[OH].[H][H],2
[H][CH2][C]1([H])[O]2[O][O]21.[H][H],4
[H][CH2][CH]([H])[H].[H][O]([OH])[OH],4
[H][CH2][CH]([H])[H].[H][O][OH].[OH2],2
[H][CH2][CH]([H])[H].[H][OH].[OH2].[OH2],4
[H][CH2][CH]([H])[O]([H])[O][H].[OH2],4
[H][CH2][CH]([H])[O]([H])[OH].[H][OH],4
[H][CH2][CH]([H])[O]([OH])[OH].[H][H],4
[H][CH2][CH]([H])[O][O]([H])[H].[OH2],4
[H][CH2][CH]([H])[O][OH].[H][H].[OH2],2
[H][CH2][CH]([H])[O]1[O]([H])[O]1[H],4
[H][CH2][CH]([H])[OH].[H][H].[OH2].[OH2],4
[H][CH2][CH]([H])[OH].[H][O]([H])[OH],4
[H][CH2][CH2][H].[H][H].[OH2].[OH2].[OH2],2
[H][CH2][CH2][H].[H][O]([H])[OH].[OH2],2
[H][CH2][CH2][H].[H][O][H].[OH2].[OH2],4
[H][CH2][CH2][H].[H][O]1[O][O]1[H],2
[H][CH2][CH2][H].[H][OH].[H][OH].[OH2],4
[H][CH2][CH3].[H][H].[H][O]([OH])[OH],2
[H][CH2][CH3].[H][H].[H][O][OH].[OH2],1
[H][CH2][H].[H][C]([H])([OH])[O][OH],3
[H][CH2][H].[H][C]([H])([OH])[OH].[OH2],2
[H][CH2][H].[H][C]1([H])[O][O][O]1,2
[H][CH2][H].[H][C]1([H])[O][O]1.[OH2],3
[H][CH2][H].[H][C]1([H])[O][O]1[OH],2
[H][CH2][H].[H][C]1([H])[O]2[O][O]21,3
[H][CH2][H].[H][CH]([H])[O]([OH])[OH],3
[H][CH2][H].[H][CH]([H])[O][O][OH],3
[H][CH2][H].[H][CH]([H])[O][OH].[OH2],2
[H][CH2][H].[H][CH]([H])[O]1[O][O]1,0
[H][CH2][H].[H][CH]([H])[OH].[OH][OH],2
[H][CH2][H].[H][CH]([H])[OH].[OH2].[OH2],3
[H][CH2][H].[H][CH]([OH])[O]([H])[OH],3
[H][CH2][H].[H][CH]1[O]([H])[O]1[OH],2
[H][CH2][H].[H][CH]1[O][O]([H])[O]1,2
[H][CH2][H].[H][CH]1[O][O][O]1[H],2
[H][CH2][H].[H][CH]1[O][O]1.[H][OH],3
[H][CH2][H].[H][CH]1[O][O]1[H].[OH2],3
[H][CH2][H].[H][CH]1[O]2[O]([H])[O]12,0
[H][CH2][H].[H][CH2][H].[O]1[O]=[O]1,0
[H][CH2][H].[H][CH2][H].[OH][O][OH],2
[H][CH2][H].[H][CH2][H].[OH2].[OH][OH],3
[H][CH2][H].[H][CH2][H].[OH2].[OH2].[OH2],2
[H][CH2][H].[H][CH2][O]([H])[O]=[O],3
[H][CH2][H].[H][CH2][O]([H])[OH].[OH2],2
[H][CH2][H].[H][CH2][O]([OH])[O][H],3
[H][CH2][H].[H][CH2][O][H].[O]#[O],2
[H][CH2][H].[H][CH2][O][H].[OH2].[OH2],3
[H][CH2][H].[H][CH2][O][O]([H])[OH],3
[H][CH2][H].[H][CH2][O][O][H].[OH2],2
[H][CH2][H].[H][CH2][O][O]=[O][H],3
[H][CH2][H].[H][CH2][O][OH].[H][OH],2
[H][CH2][H].[H][CH2][O]=[O][O][H],3
[H][CH2][H].[H][CH2][O]1[O][O]1[H],0
[H][CH2][H].[H][CH2][OH].[H][O][OH],2
[H][CH2][H].[H][CH2][OH].[H][OH].[OH2],3
[H][CH2][H].[H][CH3].[H][O]([OH])[OH],2
[H][CH2][H].[H][CH3].[H][O][O][OH],2
[H][CH2][H].[H][CH3].[H][O][OH].[OH2],3
[H][CH2][H].[H][CH3].[H][O]1[O][O]1,0
[H][CH2][H].[H][CH3].[H][OH].[OH][OH],3
[H][CH2][H].[H][CH3].[H][OH].[OH2].[OH2],2
[H][CH2][H].[H][H].[OH][O]1[CH2][O]1,1
[H][CH2][H].[H][O]([CH3])[O]([H])[OH],1
[H][CH2][H].[H][O]([H])[O]([CH3])[OH],1
[H][CH2][H].[H][O]([H])[O][O][CH3],1
[H][CH2][H].[H][O][CH]([H])[O][OH],3
[H][CH2][H].[H][O][O]([CH3])[O][H],1
[H][CH2][H].[H][O][O]([H])[O][CH3],1
[H][CH2][H].[H][O][O][CH]([H])[OH],3
[H][CH2][H].[H][O][O][O]([H])[CH3],1
[H][CH2][H].[H][O][O]1[O][CH]1[H],2
[H][CH2][H].[H][O]1[O]2[O][C]12[H],4
[H][CH2][O]([CH]([H])[H])[O]([H])[OH],2
[H][CH2][O]([CH2][H])[O]=[O].[H][H],3
[H][CH2][O]([H])[CH]([H])[H].[OH][OH],3
[H][CH2][O]([H])[O]([H])[OH].[H][CH3],4
[H][CH2][O]([H])[O]([OH])[CH]([H])[H],2
[H][CH2][O]([H])[O][CH]([H])[H].[OH2],3
[H][CH2][O]([H])[O][O][CH]([H])[H],2
[H][CH2][O]([H])[O][O][H].[H][CH3],3
[H][CH2][O]([H])[O]1[O][C]1([H])[H],3
[H][CH2][O]([H])[OH].[H][CH]([H])[OH],3
[H][CH2][O]([O][H])[CH]([H])[H].[OH2],3
[H][CH2][O]([O][H])[O][CH]([H])[H],2
[H][CH2][O]([O][H])[O][H].[H][CH3],3
[H][CH2][O]([O][O][H])[CH]([H])[H],2
[H][CH2][O]([O][OH])[C]([H])([H])[H],2
[H][CH2][O]([OH])[C]([H])([H])[H].[OH2],0
[H][CH2][O]([OH])[CH]([H])[H].[H][OH],3
[H][CH2][O]([OH])[O]([H])[CH]([H])[H],3
[H][CH2][O]([OH])[O]([H])[H].[H][CH3],4
[H][CH2][O]([OH])[O][C]([H])([H])[H],2
[H][CH2][O]([OH])[OH].[H][CH]([H])[H],0
[H][CH2][O]([OH])[OH].[H][CH3].[H][H],2
[H][CH2][O][CH]([H])[H].[H][O][OH],3
[H][CH2][O][O]([H])[CH]([H])[H].[OH2],3
[H][CH2][O][O]([H])[O][CH]([H])[H],2
[H][CH2][O][O]([H])[O][H].[H][CH3],3
[H][CH2][O][O]([O][H])[CH]([H])[H],2
[H][CH2][O][O]([OH])[CH2][H].[H][H],3
[H][CH2][O][O][C]([H])([H])[H].[OH2],0
[H][CH2][O][O][O]([H])[CH]([H])[H],2
[H][CH2][O][O][O]([H])[H].[H][CH3],4
[H][CH2][O][O][OH].[H][CH3].[H][H],2
[H][CH2][O][O]1[O]([H])[C]1([H])[H],3
[H][CH2][O][OH].[H][C]([H])([H])[OH],0
[H][CH2][O][OH].[H][CH]([H])[H].[OH2],0
[H][CH2][O][OH].[H][CH3].[H][H].[OH2],4
[H][CH2][O]1[O]([H])[O][C]1([H])[H],3
[H][CH2][O]1[O]([H])[O]1[CH]([H])[H],3
[H][CH2][O]1[O]([O][H])[C]1([H])[H],3
[H][CH2][O]1[O][C]([H])([H])[O]1[H],3
[H][CH2][O]1[O][O]([H])[C]1([H])[H],3
[H][CH2][O]1[O][O]1.[H][CH]([H])[H],0
[H][CH2][O]1[O][O]1.[H][CH3].[H][H],0
[H][CH2][O]1[O][O]1[C]([H])([H])[H],0
[H][CH2][OH].[H][CH]([H])[H].[OH2].[OH2],0
[H][CH3].[H][C]([H])([H])[O]([OH])[OH],0
[H][CH3].[H][C]([H])([H])[O][O][OH],0
[H][CH3].[H][C]([H])([H])[O][OH].[OH2],2
[H][CH3].[H][C]([H])([H])[O]1[O]=[O]1,0
[H][CH3].[H][C]([H])([H])[OH].[OH][OH],2
[H][CH3].[H][C]([H])([H])[OH].[OH2].[OH2],3
[H][CH3].[H][C]#[O].[H][H].[O]#[O],4
[H][CH3].[H][C]1([H])[O][O]1.[H][OH],3
[H][CH3].[H][C]1=[O][O]=[O]1.[H][H],3
[H][CH3].[H][CH]([H])[H].[O]1[O][O]1,0
[H][CH3].[H][CH]([H])[H].[O]1[O]=[O]1,0
[H][CH3].[H][CH]([H])[H].[OH][O][OH],0
[H][CH3].[H][CH]([H])[H].[OH2].[OH][OH],0
[H][CH3].[H][CH]([H])[H].[OH2].[OH2].[OH2],0
[H][CH3].[H][CH]([H])[O]([H])[O][OH],3
[H][CH3].[H][CH]([H])[O]([H])[O]=[O],3
[H][CH3].[H][CH]([H])[O]([H])[OH].[OH2],2
[H][CH3].[H][CH]([H])[O][O]([H])[OH],3
[H][CH3].[H][CH]([H])[O][OH].[H][OH],2
[H][CH3].[H][CH]([H])[O]1[O][O]1[H],0
[H][CH3].[H][CH]([H])[OH].[H][O][OH],2
[H][CH3].[H][CH]([H])[OH].[H][OH].[OH2],3
[H][CH3].[H][CH]1[O][O]1[OH].[H][H],4
[H][CH3].[H][CH3].[H][H].[O]1[O][O]1,2
[H][CH3].[H][CH3].[H][H].[OH][O][OH],4
[H][CH3].[H][CH3].[H][H].[OH2].[OH][OH],2
[H][CH3].[H][CH3].[H][H].[OH2].[OH2].[OH2],4
[H][CH3].[H][CH3].[H][O]([H])[O][OH],2
[H][CH3].[H][CH3].[H][O]([H])[OH].[OH2],4
[H][CH3].[H][CH3].[H][O][H].[OH][OH],4
[H][CH3].[H][CH3].[H][O][O]([H])[OH],2
[H][CH3].[H][CH3].[H][O][O][H].[OH2],4
[H][CH3].[H][CH3].[H][O][O][O][H],2
[H][CH3].[H][CH3].[H][O]1[O][O]1[H],4
[H][CH3].[H][CH3].[H][OH].[H][O][OH],4
[H][CH3].[H][O]([OH])[C]([H])([H])[OH],3
[H][CH3].[H][O][C]([H])([H])[O][OH],3
[H][CH3].[H][O][CH]([H])[H].[OH2].[OH2],3
[H][CH3].[H][O][O]([OH])[CH]([H])[H],3
[H][CH3].[H][O][O][C]([H])([H])[OH],3
[H][CH3].[H][O][O][CH]([H])[H].[OH2],2
[H][CH3].[H][O][O]1[O][C]1([H])[H],2
[H][CH3].[H][O]=[C]([H])[H].[O]#[O],2
[H][CH3].[H][O]=[O][O]=[C]([H])[H],3
[H][CH3].[H][O]1[O]([OH])[C]1([H])[H],2
[H][CH3].[H][O]1[O][C]([H])([H])[O]1,2
[H][CH3].[H][O]1[O][C]1([H])[H].[OH2],3
[H][CH3].[H][O]1[O]=[O][C]1([H])[H],2
[H][CH3].[H][O]1[O]2[O]1[C]2([H])[H],3
[H][H].[H][O][O]([OH])[CH]([H])[CH3],1
[H][H].[H][O][O]=[O][C]([H])=[CH2],1
[H][H].[H][O]=[O][O]=[C]([H])[CH3],1
[H][O]([CH2][C]([H])([H])[H])[O][OH],2
[H][O]([H])[C]([H])([H])[CH3].[O]#[O],1
[H][O]([H])[O]([OH])[C]([H])([H])[CH3],2
[H][O]([H])[O][C]([H])([H])[CH3].[OH2],1
[H][O]([H])[O][O]1[CH2][C]1([H])[H],4
[H][O]([H])[O]=[O][C]([H])([H])[CH3],2
[H][O]([H])[O]1[CH2][C]([H])([H])[O]1,1
[H][O]([H])[O]1[O][CH2][C]1([H])[H],1
[H][O]([OH])[C]1([H])[O][C]1([H])[H],4
[H][O]([OH])[CH2][C]([H])([H])[H].[OH2],1
[H][O]([OH])[O]([H])[C]([H])([H])[CH3],2
[H][O]([OH])[O]=[CH][C]([H])([H])[H],2
[H][O][C]([H])([H])[C]([H])=[O][OH],2
[H][O][C]([H])([H])[C]1([H])[O][O]1,4
[H][O][C]([H])([H])[CH]([H])[OH].[OH2],4
[H][O][C]([H])([H])[CH3].[H][O][OH],1
[H][O][C]([H])([O]=[O])[CH]([H])[H],2
[H][O][C]([H])([OH])[CH]([H])[H].[OH2],4
[H][O][C]([H])=[C]([H])[H].[O]=[O],4
[H][O][C]1([H])[O]([OH])[C]1([H])[H],4
[H][O][C]1([H])[O][O][C]1([H])[H],4
[H][O][CH]([H])[C]([H])([H])[OH].[OH2],4
[H][O][CH]([H])[CH]([H])[H].[OH2].[OH2],2
[H][O][O]([CH]=[C]([H])[H])[O][H],2
[H][O][O]([H])[C]([H])([H])[CH3].[OH2],1
[H][O][O]([H])[CH2][CH]([H])[H].[OH2],1
[H][O][O]([H])[O][C]([H])([H])[CH3],2
[H][O][O]([H])[O][CH]=[C]([H])[H],2
[H][O][O]([H])[O]1[CH]([H])[CH]1[H],4
[H][O][O]([H])[O]1[CH2][C]1([H])[H],4
[H][O][O]([O][H])[C]([H])([H])[CH3],2
[H][O][O]([OH])[C]([H])=[C]([H])[H],2
[H][O][O]([OH])[CH2][C]([H])([H])[H],2
[H][O][O][C]([H])([H])[C]([H])=[O],2
[H][O][O][C]([H])([OH])[CH]([H])[H],2
[H][O][O][C]1([H])[O][C]1([H])[H],4
[H][O][O][CH2][C]([H])([H])[H].[OH2],1
[H][O][O][O]([H])[CH]=[C]([H])[H],1
[H][O][O][O][C]([H])=[C]([H])[H],2
[H][O][O][O]=[CH][C]([H])([H])[H],2
[H][O][O][O]1[CH]([H])[C]1([H])[H],4
[H][O][O]=[C]([H])[C]([H])([H])[OH],2
[H][O][O]1[C]([H])([H])[C]1([H])[OH],4
[H][O][O]1[CH]([CH]([H])[H])[O]1[H],1
[H][O][O]1[CH]([H])[C]1([H])[H].[OH2],2
[H][O][O]1[CH]([H])[CH]([H])[O]1[H],4
[H][O][O]1[CH]([H])[O]1[CH]([H])[H],3
[H][O][O]1[CH2][C]([H])([H])[O]1[H],1
[H][O][O]1[O]([H])[CH2][C]1([H])[H],1
[H][O][O]1[O][C]([H])([H])[CH]1[H],4
[H][O][O]1[O][C]1([H])[CH]([H])[H],4
[H][O][O]1[O][CH]([H])[C]1([H])[H],4
[H][O][O]1[O][CH]1[C]([H])([H])[H],1
[H][O][O]1[O]2[C]([H])([H])[C]12[H],2
[H][O]=[C]([H])[C]([H])([H])[O][OH],2
[H][O]=[C]=[C]([H])[H].[H][O][OH],1
[H][O]=[CH][C]([H])([H])[H].[O]=[O],1
[H][O]=[O][C]([H])([OH])[CH]([H])[H],2
[H][O]=[O][C]([H])=[C]([H])[H].[OH2],4
[H][O]=[O][O]([H])[C]([H])([H])[CH3],2
[H][O]1[C]([H])([H])[C]1([H])[O][OH],4
[H][O]1[CH]([C]([H])([H])[H])[O]1[OH],1
[H][O]1[CH2][C]([H])([H])[O]([H])[O]1,1
[H][O]1[CH2][C]([H])([H])[O][O]1[H],1
[H][O]1[O]([H])[O]1[C]([H])([H])[CH3],1
[H][O]1[O][C]([H])([H])[C]1([H])[OH],4
[H][O]1[O][C]([H])([OH])[C]1([H])[H],4
[H][O]1[O][C]1([H])[C]([H])([H])[OH],4
[H][O]1[O][C]2([H])[O]1[C]2([H])[H],2
[H][O]1[O][CH]([C]([H])([H])[H])[O]1,1
[H][O]1[O][CH2][C]([H])([H])[O]1[H],1
[H][O]1[O][O][CH]1[C]([H])([H])[H],1
[H][O]1[O][O]1[CH2][C]([H])([H])[H],1
[H][O]1[O][O]2[C]([H])([H])[C]12[H],2
[H][O]1[O]2[C]([H])([H])[C]12[H].[OH2],4
[H][O]1[O]2[O][C]([H])([H])[C]12[H],2
[H][O]1[O]2[O][C]1([H])[C]2([H])[H],2
[H][O]1[O]2[O][C]2([H])[C]1([H])[H],2
[H][OH].[H][O]([OH])[C]([H])([H])[CH3],1
[H][OH].[H][O][O][C]([H])([H])[CH3],1
[H][OH].[H][O][O]=[C]=[C]([H])[H],1
[HH].[H][C]([CH3])=[O].[H][H].[O]#[O],1
[HH].[H][C]([CH3])=[O][O][O]([H])[H],1
[HH].[H][C]([CH3])=[O][O]=[O].[H][H],2
[HH].[H][C]([H])([CH3])[O][OH].[H][OH],2
[HH].[H][C]([H])([CH3])[OH].[H][O][OH],2
[HH].[H][C]([H])([CH3])[OH].[H][OH].[OH2],1
[HH].[H][C]([H])([H])[C]([OH])=[O][OH],0
[HH].[H][C]([H])([H])[C](=[O])[O][OH],0
[HH].[H][C]([H])([H])[C]#[O].[OH][OH],0
[HH].[H][C]([H])([H])[C]1=[O][O]1.[OH2],0
[HH].[H][C]([H])([H])[C]12[O][O]1[O]2,0
[HH].[H][C]([H])([H])[CH]([OH])[O]=[O],0
[HH].[H][C]([H])([H])[CH]=[O][O][OH],1
[HH].[H][C]([H])([H])[CH]1[O][O][O]1,0
[HH].[H][C]([H])([H])[CH]1[O][O]1[OH],0
[HH].[H][C]([H])([H])[CH]1[O]2[O][O]12,0
[HH].[H][C]([H])([H])[CH2][O]([OH])[OH],1
[HH].[H][C]([H])([H])[CH2][O][OH].[OH2],0
[HH].[H][C]([H])([H])[CH2][O]1[O][O]1,0
[HH].[H][C]([H])([H])[CH2][OH].[OH2].[OH2],0
[HH].[H][C]([H])([H])[CH3].[O]1[O]=[O]1,0
[HH].[H][C]([H])([H])[CH3].[OH][O][OH],2
[HH].[H][C]([H])([H])[CH3].[OH2].[OH][OH],1
[HH].[H][C]([H])([H])[CH3].[OH2].[OH2].[OH2],2
[HH].[H][C]([H])([H])[O]([CH3])[O]=[O],3
[HH].[H][C]([H])([H])[O]([OH])[O]=[CH2],0
[HH].[H][C]([H])([H])[O][O]([CH3])[OH],3
[HH].[H][C]([H])([H])[O][O]=[O][CH3],0
[HH].[H][C]([H])([H])[O]=[O][O][CH3],0
[HH].[H][C]([H])([OH])[C]([H])([OH])[OH],4
[HH].[H][C]([H])([OH])[C]1([H])[O][O]1,2
[HH].[H][C]([H])=[C]([H])[O]([OH])[OH],0
[HH].[H][C]([H])=[C]([H])[O][O][OH],4
[HH].[H][C]([H])=[C]([H])[O]=[O].[OH2],2
[HH].[H][C]([H])=[C]([H])[OH].[O]=[O],2
[HH].[H][C]([H])=[C]([OH])[O]([H])[OH],1
[HH].[H][C]([H])=[C]=[O].[H][O][OH],2
[HH].[H][C]([H])=[C]1[O][O]1.[H][OH],1
[HH].[H][C]([H])=[C]1[O][O]1[H].[OH2],4
[HH].[H][C]([H])=[CH][O]([H])[O][OH],1
[HH].[H][C]([H])=[CH][O][O]([H])[OH],1
[HH].[H][C]([H])=[CH][O]=[O].[H][OH],2
[HH].[H][C]([H])=[CH][OH].[H][O]=[O],2
[HH].[H][C]([H])=[CH2].[H][O][O]=[O],2
[HH].[H][C]([H])=[CH2].[H][O]=[O][OH],2
[HH].[H][C]([H])=[CH2].[H][O]1[O][O]1,1
[HH].[H][C]([H])=[CH2].[H][OH].[O]#[O],1
[HH].[H][C]([H])=[O][CH]([H])[O][OH],3
[HH].[H][C]([H])=[O][O]([H])[O][CH3],3
[HH].[H][C]([H])=[O][O][CH]([H])[OH],3
[HH].[H][C]([H])=[O][O][O]([H])[CH3],3
[HH].[H][C]([O][OH])=[O][CH]([H])[H],3
[HH].[H][C]([OH])=[C]([H])[O]([H])[OH],4
[HH].[H][C]([OH])=[O][O][CH]([H])[H],3
[HH].[H][C](=[CH2])[O]([H])[O]([H])[OH],1
[HH].[H][C](=[CH2])[O]([OH])[O]([H])[H],1
[HH].[H][C](=[CH2])[O][O][O]([H])[H],1
[HH].[H][C](=[CH2])[O]1[O][O]1.[H][H],1
[HH].[H][C](=[O])[C]([H])([H])[O][OH],4
[HH].[H][C](=[O])[CH]([H])[H].[O]=[O],2
[HH].[H][C](=[O])[CH]([H])[O]([H])[OH],4
[HH].[H][C](=[O])[O]([OH])[CH]([H])[H],3
[HH].[H][C](=[O])[O][O][CH]([H])[H],3
[HH].[H][C](=[O][O][OH])[CH]([H])[H],4
[HH].[H][C](=[O][OH])[C]([H])([H])[OH],4
[HH].[H][C]#[C][H].[H][O]([OH])[OH],2
[HH].[H][C]#[C][H].[H][O][O][OH],2
[HH].[H][C]#[C][H].[H][O]=[O].[OH2],4
[HH].[H][C]#[C][H].[H][OH].[O]=[O],4
[HH].[H][C]#[C][O]([OH])[OH].[H][H],2
[HH].[H][C]#[C][O]=[O].[H][H].[OH2],1
[HH].[H][C]#[C][OH].[H][H].[O]=[O],1
[HH].[H][C]#[CH].[H][H].[O]=[O][OH],1
[HH].[H][C]#[CH].[H][H].[O]1[O][O]1,2
[HH].[H][C]#[CH].[H][H].[OH2].[O]#[O],2
[HH].[H][C]#[CH].[H][O]([H])[O][OH],2
[HH].[H][C]#[CH].[H][O][H].[O]=[O],1
[HH].[H][C]#[CH].[H][O][O]([H])[OH],2
[HH].[H][C]#[CH].[H][O][O][O][H],2
[HH].[H][C]#[CH].[H][O]=[O][H].[OH2],1
[HH].[H][C]#[CH].[H][OH].[H][O]=[O],1
[HH].[H][C]#[O].[H][C]([H])=[O].[OH2],3
[HH].[H][C]1([CH3])[O][O]=[O]1.[H][H],1
[HH].[H][C]1([CH3])[O][O]1[OH].[H][H],1
[HH].[H][C]1([H])[CH]=[O][O]1.[H][OH],1
[HH].[H][C]1([H])[CH]=[O]1.[H][O][OH],1
[HH].[H][C]1([H])[CH2][O]1[OH].[H][OH],1
[HH].[H][C]1([H])[O]([OH])[C]1([H])[OH],2
[HH].[H][C]1([H])[O][C]1([H])[O][OH],2
[HH].[H][C]1([H])[O][C]1([H])[OH].[OH2],4
[HH].[H][C]1([H])[O][O][C]1([H])[OH],2
[HH].[H][C]1([H])[O][O]2[O][C]21[H],4
[HH].[H][C]1([H])[O]2[O]([OH])[C]21[H],4
[HH].[H][C]1([H])[O]2[O][C]21[H].[OH2],2
[HH].[H][C]1([H])[O]2[O][O][C]21[H],4
[HH].[H][C]1([H])[O]2[O]3[O]2[C]31[H],0
[HH].[H][C]1=[C]([H])[O]([H])[O]1.[OH2],4
[HH].[H][C]1=[C]([H])[O][O]1.[H][OH],4
[HH].[H][C]1=[C]([H])[O]1.[H][O][OH],4
[HH].[H][C]1=[C]([H])[O]1[H].[OH][OH],4
[HH].[H][C]1=[C]([H])[O]1[OH].[H][OH],4
[HH].[H][C]1=[CH][O]([OH])[O]1.[H][H],1
[HH].[H][C]1=[CH][O][O][O]1.[H][H],1
[HH].[H][C]1=[CH][O][O]1[OH].[H][H],1
[HH].[H][C]1=[CH][O]1[O][OH].[H][H],1
[HH].[H][C]1=[O][C]1([H])[H].[OH][OH],4
[HH].[H][C]1=[O][CH]1[H].[H][O][OH],4
[HH].[H][C]1=[O][O]([H])[CH]1[H].[OH2],4
[HH].[H][C]1=[O][O][C]1([H])[H].[OH2],4
[HH].[H][C]1=[O][O][CH]1[H].[H][OH],4
[HH].[H][C]1=[O][O]1[CH]([H])[H].[OH2],3
[HH].[H][C]12[O][O]([O]1)[C]2([H])[H],4
[HH].[H][CH]([CH3])[O]([OH])[OH].[H][H],2
[HH].[H][CH]([CH3])[O][OH].[H][H].[OH2],1
[HH].[H][CH]([H])[C]([H])([OH])[O][OH],0
[HH].[H][CH]([H])[C]([H])([OH])[O]=[O],4
[HH].[H][CH]([H])[C]([H])([OH])[OH].[OH2],2
[HH].[H][CH]([H])[C](=[O])[O]([H])[OH],1
[HH].[H][CH]([H])[C]#[O].[H][O][OH],2
[HH].[H][CH]([H])[C]1([H])[O][O][O]1,2
[HH].[H][CH]([H])[C]1([H])[O][O]1[OH],2
[HH].[H][CH]([H])[C]1([H])[O]=[O]1.[OH2],4
[HH].[H][CH]([H])[C]1([H])[O]2[O][O]21,0
[HH].[H][CH]([H])[C]1=[O][O]1.[H][OH],1
[HH].[H][CH]([H])[C]1=[O][O]1[H].[OH2],1
[HH].[H][CH]([H])[C]12[O][O]1[O]2[H],4
[HH].[H][CH]([H])[CH]([H])[O]1[O][O]1,0
[HH].[H][CH]([H])[CH]([H])[OH].[OH2].[OH2],4
[HH].[H][CH]([H])[CH]1[O]([H])[O]1[OH],2
[HH].[H][CH]([H])[CH]1[O][O]([H])[O]1,2
[HH].[H][CH]([H])[CH]1[O][O][O]1[H],2
[HH].[H][CH]([H])[CH]1[O]2[O]([H])[O]12,1
[HH].[H][CH]([H])[CH2][O]([H])[OH].[OH2],2
[HH].[H][CH]([H])[CH2][O]1[O][O]1[H],2
[HH].[H][CH]([H])[CH2][OH].[H][OH].[OH2],1
[HH].[H][CH]([H])[CH3].[H][O]([OH])[OH],2
[HH].[H][CH]([H])[CH3].[H][O][OH].[OH2],1
[HH].[H][CH]([H])[CH3].[H][OH].[OH2].[OH2],2
[HH].[H][CH]([H])[H].[OH][O]1[CH]=[O]1,0
[HH].[H][CH]([H])[O]([CH3])[O]([H])[OH],3
[HH].[H][CH]([H])[O]([H])[O]([CH3])[OH],3
[HH].[H][CH]([H])[O]([H])[O][O][CH3],3
[HH].[H][CH]([H])[O]([H])[O][O]=[CH2],1
[HH].[H][CH]([H])[O]([H])[O]=[O][CH3],3
[HH].[H][CH]([H])[O]([OH])[O]([H])[CH3],1
[HH].[H][CH]([H])[O][CH]([H])[O]=[O],3
[HH].[H][CH]([H])[O][O]([H])[O]=[CH2],3
