Label,modularity_class
[CH4].[H][CH2][H].[H][O]([H])[O][OH],2
[CH4].[H][CH2][H].[H][O]([H])[OH].[OH2],1
[CH4].[H][CH2][H].[H][O][H].[OH][OH],1
[CH4].[H][CH2][H].[H][O][O]([H])[OH],2
[CH4].[H][CH2][H].[H][O][O][H].[OH2],1
[CH4].[H][CH2][H].[H][O][O][O][H],2
[CH4].[H][CH2][H].[H][O]1[O][O]1[H],1
[CH4].[H][CH2][H].[H][OH].[H][O][OH],1
[CH4].[H][CH3].[H][H].[H][O]([OH])[OH],1
[CH4].[H][CH3].[H][H].[H][O][O][OH],1
[CH4].[H][O]([O][OH])[C]([H])([H])[H],3
[CH4].[H][O]([OH])[O][C]([H])([H])[H],3
[CH4].[H][O][O]([H])[O][CH]([H])[H],1
[CH4].[H][O][O]([O][H])[CH]([H])[H],1
[CH4].[H][O][O]([OH])[C]([H])([H])[H],1
[CH4].[H][O][O][O]([H])[CH]([H])[H],1
[CH4].[H][O][O][O][C]([H])([H])[H],0
[CH4].[H][O]=[O][O]([H])[CH]([H])[H],3
[CH4].[HH].[H][C]([H])([H])[O]([OH])[OH],2
[CH4].[HH].[H][C]([H])([H])[O][O][OH],2
[CH4].[HH].[H][C]([H])([H])[O][OH].[OH2],1
[CH4].[HH].[H][C]([H])([H])[O]1[O]=[O]1,0
[CH4].[HH].[H][C]([H])([H])[OH].[OH][OH],3
[CH4].[HH].[H][CH]([H])[H].[O]1[O][O]1,0
[CH4].[HH].[H][CH]([H])[H].[O]1[O]=[O]1,0
[CH4].[HH].[H][CH]([H])[H].[OH][O][OH],0
[CH4].[HH].[H][CH]([H])[H].[OH2].[OH][OH],2
[CH4].[HH].[H][CH]([H])[H].[OH2].[OH2].[OH2],0
[CH4].[HH].[H][CH]([H])[O]([H])[O][OH],2
[CH4].[HH].[H][CH]([H])[O]([H])[O]=[O],2
[CH4].[HH].[H][CH]([H])[O]([H])[OH].[OH2],1
[CH4].[HH].[H][CH]([H])[O][O]([H])[OH],2
[CH4].[HH].[H][CH]([H])[O][OH].[H][OH],3
[CH4].[HH].[H][CH]([H])[O]1[O][O]1[H],1
[CH4].[HH].[H][CH]([H])[OH].[H][O][OH],1
[CH4].[HH].[H][CH2][H].[H][O]([OH])[OH],1
[CH4].[HH].[H][CH2][H].[H][O][O][OH],1
[CH4].[HH].[H][CH2][H].[H][O][OH].[OH2],2
[CH4].[HH].[H][CH2][H].[H][O]1[O][O]1,2
[CH4].[HH].[H][CH2][H].[H][OH].[OH][OH],2
[CH4].[HH].[H][CH2][H].[H][OH].[OH2].[OH2],1
[CH4].[HH].[H][CH2][O]([OH])[OH].[H][H],1
[CH4].[HH].[H][CH2][O][O][OH].[H][H],1
[CH4].[HH].[H][CH3].[H][H].[O]1[O][O]1,1
[CH4].[HH].[H][CH3].[H][H].[OH][O][OH],2
[CH4].[HH].[H][CH3].[H][H].[OH2].[OH][OH],1
[CH4].[HH].[H][CH3].[H][O]([H])[O][OH],1
[CH4].[HH].[H][CH3].[H][O][O]([H])[OH],1
[CH4].[HH].[H][CH3].[H][O][O][O][H],1
[CH4].[HH].[H][O][O]([OH])[CH]([H])[H],2
[CH4].[HH].[H][O][O][CH]([H])[H].[OH2],1
[CH4].[HH].[H][O][O]1[O][C]1([H])[H],1
[CH4].[HH].[H][O]=[C]([H])[H].[O]#[O],1
[CH4].[HH].[H][O]=[O][O]=[C]([H])[H],2
